topic0,reserve0,reserve1,blockNum,index
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef72ee4cd46b0e5c00000000000000000000000000000000000000000000000000000029e8e2682e32,14838989,44,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef712e6d0a98129ee7000000000000000000000000000000000000000000000000000029e8f14ee0b2,14839003,543,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef71373ae2086820e7000000000000000000000000000000000000000000000000000029e8f10456de,14839004,199,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef7022431a2faeca28000000000000000000000000000000000000000000000000000029e8fa3b63bf,14839006,289,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef725356159a802d01000000000000000000000000000000000000000000000000000029e8e7ad229b,14839023,183,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef728baeab9ca36d01000000000000000000000000000000000000000000000000000029e8e5d017d0,14839023,367,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef7346541c83b83101000000000000000000000000000000000000000000000000000029e8dfa3e53e,14839031,16,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef748346684fbe7901000000000000000000000000000000000000000000000000000029e8d5288eb5,14839031,34,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef781b9c0e2b63503d000000000000000000000000000000000000000000000000000029e8b6b8eb92,14839039,95,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef758cf6e819a05743000000000000000000000000000000000000000000000000000029e8cc809797,14839039,223,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef6d272d9670788b2a000000000000000000000000000000000000000000000000000029e914072397,14839042,6,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef6e86e590293c0b2a000000000000000000000000000000000000000000000000000029e908654cd8,14839042,23,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef6fa0a07e33ec4b2a000000000000000000000000000000000000000000000000000029e8ff140a16,14839047,19,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef6f23e07fc960eb58000000000000000000000000000000000000000000000000000029e9033a9868,14839052,436,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef7bd30ea81615eb58000000000000000000000000000000000000000000000000000029e897d7851a,14839057,248,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef7be120416f656b58000000000000000000000000000000000000000000000000000029e897606aac,14839058,162,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef5fe3539d07e08106000000000000000000000000000000000000000000000000000029e985cb92ac,14839059,39,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef4a38588783f1466a000000000000000000000000000000000000000000000000000029ea3e619aea,14839062,7,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef45443cc661e3a332000000000000000000000000000000000000000000000000000029ea68955a50,14839077,143,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef4547c24fc205d732000000000000000000000000000000000000000000000000000029ea68778780,14839078,217,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef5832148ea32a22b2000000000000000000000000000000000000000000000000000029e9c849eb69,14839081,24,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef55659a67f7115ef2000000000000000000000000000000000000000000000000000029e9e0216f69,14839081,87,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef55d087a840c12aa2000000000000000000000000000000000000000000000000000029e9dc97ffd9,14839081,108,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef58fb8673d9fa4eac000000000000000000000000000000000000000000000000000029e9c1c4b818,14839087,331,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef5c973b1333944eac000000000000000000000000000000000000000000000000000029e9a3373420,14839087,372,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004efd864f20f0a44572b000000000000000000000000000000000000000000000000000029e58b50b883,14839094,38,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004efdb52a7fe01081d6e000000000000000000000000000000000000000000000000000029e572897e03,14839095,543,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004efd90c0bd2afc27a66000000000000000000000000000000000000000000000000000029e585e89943,14839101,62,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004efd4d87adffdb62057000000000000000000000000000000000000000000000000000029e5a9abdf43,14839113,22,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004efcbc526c9c1a97360000000000000000000000000000000000000000000000000000029e5f6ecf90a,14839119,39,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004efc8fe6fd293ed2ed0000000000000000000000000000000000000000000000000000029e60e8f152a,14839119,75,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004efcd89fc3bbdec3ee5000000000000000000000000000000000000000000000000000029e5e81985df,14839128,252,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef7a73cfbd419b6752000000000000000000000000000000000000000000000000000029e8ab8f6212,14839133,114,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef7a1a3b7dbe768604000000000000000000000000000000000000000000000000000029e8ae8a5292,14839133,181,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef036cd7ae4b35a604000000000000000000000000000000000000000000000000000029eca1adf232,14839147,5,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ef01cc7448b90c5f63000000000000000000000000000000000000000000000000000029ecaf8aed8e,14839148,423,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004eefb72f5d8b61e53ee000000000000000000000000000000000000000000000000000029ece5a9c353,14839149,159,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ee1cfcb6a27c318105000000000000000000000000000000000000000000000000000029f44f26cc93,14839155,239,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ee210c3cd84a841138000000000000000000000000000000000000000000000000000029f42cb35295,14839158,238,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ed69687e4c22c11138000000000000000000000000000000000000000000000000000029fa4cfcf375,14839163,6,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ec9f329442a8aab13800000000000000000000000000000000000000000000000000002a010df0a535,14839165,28,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ece11df81803c5b138000000000000000000000000000000000000000000000000000029fedd734c8b,14839165,222,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ece36f1189ef9cb90a000000000000000000000000000000000000000000000000000029fec9c1747b,14839173,246,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ece508917b18d9881d000000000000000000000000000000000000000000000000000029febc28678c,14839192,26,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ece9f0ebc6adbbfb25000000000000000000000000000000000000000000000000000029fe9270b17c,14839192,331,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004eceb1482813d2e3fab000000000000000000000000000000000000000000000000000029fe88c211cd,14839194,58,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004eceae84c74b61419ea000000000000000000000000000000000000000000000000000029fe8a3c2568,14839197,24,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ecdd0795c10217d310000000000000000000000000000000000000000000000000000029ff00eae930,14839207,115,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ecdcf5e27228e9f19d000000000000000000000000000000000000000000000000000029ff01824a8f,14839213,87,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ece11fb2db4187f19d000000000000000000000000000000000000000000000000000029fede1dca6a,14839220,43,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ecdf0870a3eabf1e5b000000000000000000000000000000000000000000000000000029feefff6d6a,14839233,92,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ecf5bc4911da8177b0000000000000000000000000000000000000000000000000000029fe2f044f0f,14839240,5,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ed039cffc581e577b0000000000000000000000000000000000000000000000000000029fdb9102c7e,14839241,7,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ed0337087280587ab0000000000000000000000000000000000000000000000000000029fdbc780470,14839248,68,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ed0311118d98fb6261000000000000000000000000000000000000000000000000000029fdbdbca04c,14839250,342,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ed06ff0269650df643000000000000000000000000000000000000000000000000000029fd9c571e38,14839253,99,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ed06d19d881eba23d4000000000000000000000000000000000000000000000000000029fd9ddb3e64,14839253,241,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004ea7c1e9def07bf03d400000000000000000000000000000000000000000000000000002a1364aabba4,14839255,11,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e94cce05f57824136900000000000000000000000000000000000000000000000000002a1d9302539b,14839257,5,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e94b959ccb6f08b88800000000000000000000000000000000000000000000000000002a1d9d816075,14839263,425,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e94a32cd3c8e8549bc00000000000000000000000000000000000000000000000000002a1da96d2275,14839269,312,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e973d4f15784b149bc00000000000000000000000000000000000000000000000000002a1c45861cdb,14839284,243,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e985ead4c455831b7000000000000000000000000000000000000000000000000000002a1baaf2e3a9,14839284,308,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e98d9a4b9bf9137d3700000000000000000000000000000000000000000000000000002a1b69448053,14839287,34,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e7067c60694949fd3700000000000000000000000000000000000000000000000000002a313013fd93,14839294,11,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e6f69afbb69092477f00000000000000000000000000000000000000000000000000002a31b92b3493,14839298,288,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e6f5397d65c77830f400000000000000000000000000000000000000000000000000002a31c516f693,14839306,438,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e6be199979ff3971ed00000000000000000000000000000000000000000000000000002a33a1124e54,14839306,490,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e56819b03aabdf51ed00000000000000000000000000000000000000000000000000002a3f2dc71d74,14839328,28,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e57b877ccfc96b51ed00000000000000000000000000000000000000000000000000002a3e86a563cb,14839329,121,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e57dcc70083e368e7700000000000000000000000000000000000000000000000000002a3e73204418,14839330,122,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e57e0b1ef20d53231f00000000000000000000000000000000000000000000000000002a3e71051765,14839330,421,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e58388b01699b36adc00000000000000000000000000000000000000000000000000002a3e41cb3837,14839336,31,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e583abc5e697c8abcc00000000000000000000000000000000000000000000000000002a3e409d713b,14839336,82,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e583ad8ca5ea2bebcc00000000000000000000000000000000000000000000000000002a3e408e29d4,14839337,449,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e575e6ec659ab1997400000000000000000000000000000000000000000000000000002a3eb7c3bdd4,14839348,471,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e573d5f4a98803dbb900000000000000000000000000000000000000000000000000002a3ec9a560d4,14839359,297,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e570a5d98d7d8e43c900000000000000000000000000000000000000000000000000002a3ee53bff5c,14839361,103,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e4c4a9a99eb49cdef400000000000000000000000000000000000000000000000000002a44b66a271f,14839362,9,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e4cdb1c3070b6bf71800000000000000000000000000000000000000000000000000002a4468a40040,14839364,107,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e4ceaa73a819b2f71800000000000000000000000000000000000000000000000000002a44604686e8,14839368,89,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e4ced363ec008b079d00000000000000000000000000000000000000000000000000002a445ee60176,14839370,296,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e4c819ce5d3d360b3400000000000000000000000000000000000000000000000000002a44992833da,14839372,113,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e4ca07a220b4fd8b3400000000000000000000000000000000000000000000000000002a44888bb607,14839376,101,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e4cb0604f29128350200000000000000000000000000000000000000000000000000002a447ffd2359,14839381,98,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e4af57b48e926224c800000000000000000000000000000000000000000000000000002a456fcfd054,14839389,297,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e4a2f5ef2c73827c5400000000000000000000000000000000000000000000000000002a45db19a254,14839391,57,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3f799d99f8e7619d900000000000000000000000000000000000000000000000000002a4ba8c524bb,14839397,294,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3fa0539f58a2130bb00000000000000000000000000000000000000000000000000002a4b93e8913b,14839398,203,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3fab27d8f9d80c8bb00000000000000000000000000000000000000000000000000002a4b8e129c78,14839399,109,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e40e204a24bb0cc8bb00000000000000000000000000000000000000000000000000002a4ae68f17c9,14839406,7,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e40e9f7a7c95ca5e3600000000000000000000000000000000000000000000000000002a4ae2468dbe,14839414,312,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e4158fd5d6697c5e3600000000000000000000000000000000000000000000000000002a4aa6745157,14839423,332,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e414f21fa6eb9c4d1b00000000000000000000000000000000000000000000000000002a4aabcc2425,14839423,410,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e40c41de7c0f23dc8100000000000000000000000000000000000000000000000000002a4af72785e5,14839432,32,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e40a3218607092ae8400000000000000000000000000000000000000000000000000002a4b090928e5,14839440,12,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e40ae0eedced871e1600000000000000000000000000000000000000000000000000002a4b0325c91c,14839441,123,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e401e244e8926fcb7900000000000000000000000000000000000000000000000000002a4b512a808f,14839449,17,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e404f36b3cd1cc4b7900000000000000000000000000000000000000000000000000002a4b36b8fd0f,14839458,504,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3cdfc6a72f78a936c00000000000000000000000000000000000000000000000000002a4d138f4d0f,14839460,6,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3d0c22e31515baaed00000000000000000000000000000000000000000000000000002a4cfba5c310,14839460,145,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3c70c8a5f7e3a8f7000000000000000000000000000000000000000000000000000002a4d4fe572fa,14839470,2,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3d414db29aed3e96100000000000000000000000000000000000000000000000000002a4cdf7e3f1b,14839475,420,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3ec9c10cab1f6c50f00000000000000000000000000000000000000000000000000002a4c0bf7606c,14839481,72,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3eed6035e19f511cc00000000000000000000000000000000000000000000000000002a4bf8c4a720,14839482,170,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3ed72b5d77a2e46ca00000000000000000000000000000000000000000000000000002a4c04ceeda0,14839498,191,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3eebe677da562d2d000000000000000000000000000000000000000000000000000002a4bf9a2b316,14839500,73,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3edd60f8a8391cb9300000000000000000000000000000000000000000000000000002a4c01824b16,14839502,131,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3ee7f20ab5831046400000000000000000000000000000000000000000000000000002a4bfbd069ed,14839511,371,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3eee82f221620a4c700000000000000000000000000000000000000000000000000002a4bf8468142,14839512,15,
0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0000000000000000000000000000000000000000000004e3fe9a4da40f1824c700000000000000000000000000000000000000000000000000002a4b70efbe85,14839517,256,
